id,parent_id,order,unit_type,source_local_ids,source_path,line_start,line_end,source_sha256,translation_state,rights_component_ids
008a3bd4-069a-5cc2-bea8-bf1d9a41d834,38d29400-2764-5109-a7fd-d245c7e52b17,27,exercise,"[""sampling_strategies"",""eoce_1_27"",""R011-B003""]",ch_intro_to_data/TeX/sampling_principles_and_strategies.tex,258,267,a8977aa3f9315964551e4574ecf7f4cc30a57730c3494a31b94be8b9351e3cf5,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0135feda-7bfb-5aa7-b3cb-0ad3ada718b2,b44842e4-51b4-52b7-8653-480ff0007c50,2,exercise,"[""association_plots"",""eoce_2_2"",""R011-B005""]",ch_summarizing_data/TeX/examining_numerical_data.tex,25,38,081e8a69731e0b9fe810067b3c62637f5a60982c5efad0b683fa4b4abf6a018c,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0191df4f-413d-5623-9944-e2376020b3c5,b44842e4-51b4-52b7-8653-480ff0007c50,18,exercise,"[""midrange"",""eoce_2_18"",""R011-B005""]",ch_summarizing_data/TeX/examining_numerical_data.tex,290,297,b4aeab30cbb2c86906dc64c79f1eb68dcdf06b64d31eb28af09eb4141548337a,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
01ab1464-7aac-5927-87c5-eb0cf416259a,697eee11-37f2-5f2e-8492-16a070ccd069,7,guided_exercise,"[""R011-B009"",""ch03-sec3.1-07""]",ch_probability/TeX/ch_probability.tex,292,296,d88a1521b65d438ddc40696b00a4fc1b34fa0c890d60964e675527f715fc3faa,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
01e2b504-cd69-5b62-a16d-5c19310ba737,a766f9cd-f941-5953-b2d9-9d5f0b9a8764,23,exercise,"[""R011-B011"",""3.23"",""marbles_in_urn""]",ch_probability/TeX/sampling_from_a_small_population.tex,3,18,c4a28b4e4c98b3acb243ac40baacab655d7dc4a70818b9a17211c673f1630128,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""b8ee2bc6-8b07-51f4-8124-2fd462cd606b""]"
0257872e-8f44-56df-95c8-bdad0e424806,175fb5b8-02c7-5763-937a-dbaf90efe95a,1,companion_gap,"[""R011-B012""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
02e4f013-6bce-52d8-a54b-02860c939510,697eee11-37f2-5f2e-8492-16a070ccd069,6,guided_exercise,"[""R011-B009"",""ch03-sec3.1-06""]",ch_probability/TeX/ch_probability.tex,262,266,70c6ea09e808fafe749e5b3f27659990e9e9f4475ebee42f4f504e678ad017df,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
02f6e6bb-cb13-52fa-bcd9-7183093cea93,ac4ef134-e728-567a-9bc4-2a1255aa7b0a,1,solution,"[""% 3"",""eoce_sol_1_3""]",extraTeX/eoceSolutions/eoceSolutions.tex,25,32,2e9647e54554ed4598e1de227ed8cbe069c235e0da10ff0a2aa7fb063b351120,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
0490a7f0-3ec2-599c-9bb2-efb58d5eb4ae,86a3e7b7-abec-5677-b5cf-7e7dbdb08ae4,1,solution,"[""R011-B011"",""guided-inline-answer-1""]",ch_probability/TeX/ch_probability.tex,1656,1664,58d44253505516eb595939f6c84f335561be83c73d0ad06b05c4906eb3564317,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""b8ee2bc6-8b07-51f4-8124-2fd462cd606b""]"
05ed1aa2-8201-50ff-8cb7-893d51314da9,aa6de920-293e-53d9-bae5-bdb90e35f8f4,7,subsection,"[""transformingDataSubsection"",""R011-B005""]",ch_summarizing_data/TeX/ch_summarizing_data.tex,1095,1206,1653939f7f859a5acc1e75ba9d32d156582df58c7c52330b439927c16d6ea500,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
